no,kind,provider,controllerClass,package,endpoint,httpMethod,path,basePath,javaMethod,sourceFile,line,inheritedByCount,inheritedBy,note
1,own,자체 선언,AdminPatchController,com.arms.api.patchnote.controller,POST /arms/patchnote/addPatchnote.do,POST,/arms/patchnote/addPatchnote.do,/arms/patchnote,addPatchnote,com/arms/api/patchnote/controller/AdminPatchController.java,30,,,
2,own,자체 선언,AdminPatchController,com.arms.api.patchnote.controller,PUT /arms/patchnote/updatePatchnote.do,PUT,/arms/patchnote/updatePatchnote.do,/arms/patchnote,updatePatchnote,com/arms/api/patchnote/controller/AdminPatchController.java,36,,,
3,own,자체 선언,AlarmController,com.arms.api.dwralarm.controller,POST /arms/alarm/excel-upload-complete,POST,/arms/alarm/excel-upload-complete,/arms/alarm,excelUploadComplete,com/arms/api/dwralarm/controller/AlarmController.java,59,,,
4,own,자체 선언,AlarmController,com.arms.api.dwralarm.controller,POST /arms/alarm/gantt-excel-upload-refresh,POST,/arms/alarm/gantt-excel-upload-refresh,/arms/alarm,ganttExcelUploadRefresh,com/arms/api/dwralarm/controller/AlarmController.java,53,,,
5,own,자체 선언,AlarmController,com.arms.api.dwralarm.controller,POST /arms/alarm/req-def-row-status,POST,/arms/alarm/req-def-row-status,/arms/alarm,reqDefRowStatus,com/arms/api/dwralarm/controller/AlarmController.java,65,,,
6,own,자체 선언,AlarmController,com.arms.api.dwralarm.controller,POST /arms/alarm/send-message,POST,/arms/alarm/send-message,/arms/alarm,sendMessage,com/arms/api/dwralarm/controller/AlarmController.java,37,,,
7,own,자체 선언,AlarmController,com.arms.api.dwralarm.controller,POST /arms/alarm/send-message/server,POST,/arms/alarm/send-message/server,/arms/alarm,sendMessageByServer,com/arms/api/dwralarm/controller/AlarmController.java,47,,,
8,own,자체 선언,AlarmController,com.arms.api.dwralarm.controller,POST /arms/alarm/wbs-row-status,POST,/arms/alarm/wbs-row-status,/arms/alarm,wbsRowStatus,com/arms/api/dwralarm/controller/AlarmController.java,74,,,
9,own,자체 선언,BlogController,com.arms.api.blog.controller,POST /anonymous/arms/blog/addBlog.do,POST,/anonymous/arms/blog/addBlog.do,/anonymous/arms/blog,addBlog,com/arms/api/blog/controller/BlogController.java,50,,,
10,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/getBlog.do,GET,/anonymous/arms/blog/getBlog.do,/anonymous/arms/blog,getBlog,com/arms/api/blog/controller/BlogController.java,45,,,
11,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/getPaginatedBlogList.do,GET,/anonymous/arms/blog/getPaginatedBlogList.do,/anonymous/arms/blog,getPaginatedBlogList,com/arms/api/blog/controller/BlogController.java,80,,,
12,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/hot/getKeywordList.do,GET,/anonymous/arms/blog/hot/getKeywordList.do,/anonymous/arms/blog,getHotKeywordList,com/arms/api/blog/controller/BlogController.java,87,,,
13,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/latest/getBlogList.do,GET,/anonymous/arms/blog/latest/getBlogList.do,/anonymous/arms/blog,getLatestBlogList,com/arms/api/blog/controller/BlogController.java,65,,,
14,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/popular/getBlogList.do,GET,/anonymous/arms/blog/popular/getBlogList.do,/anonymous/arms/blog,getPopularBlogList,com/arms/api/blog/controller/BlogController.java,70,,,
15,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/recommended/getBlogList.do,GET,/anonymous/arms/blog/recommended/getBlogList.do,/anonymous/arms/blog,getRecommendedBlogList,com/arms/api/blog/controller/BlogController.java,75,,,
16,own,자체 선언,BlogController,com.arms.api.blog.controller,DELETE /anonymous/arms/blog/removeBlog.do,DELETE,/anonymous/arms/blog/removeBlog.do,/anonymous/arms/blog,removeBlog,com/arms/api/blog/controller/BlogController.java,60,,,
17,own,자체 선언,BlogController,com.arms.api.blog.controller,GET /anonymous/arms/blog/searchBlogList.do,GET,/anonymous/arms/blog/searchBlogList.do,/anonymous/arms/blog,searchBlogList,com/arms/api/blog/controller/BlogController.java,101,,,
18,own,자체 선언,BlogController,com.arms.api.blog.controller,PUT /anonymous/arms/blog/updateBlog.do,PUT,/anonymous/arms/blog/updateBlog.do,/anonymous/arms/blog,updateBlog,com/arms/api/blog/controller/BlogController.java,55,,,
19,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/assignee-calculation,POST,/admin/arms/analysis/cost/assignee-calculation,/admin/arms/analysis/cost,calculateAssigneeCost,com/arms/api/analysis/cost/controller/CostController.java,92,,,
20,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/calculation,POST,/admin/arms/analysis/cost/calculation,/admin/arms/analysis/cost,calculateCost,com/arms/api/analysis/cost/controller/CostController.java,77,,,
21,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/personal-estimated-period-cost,POST,/admin/arms/analysis/cost/personal-estimated-period-cost,/admin/arms/analysis/cost,getEstimatedPeriodCostByAccountId,com/arms/api/analysis/cost/controller/CostController.java,71,,,
22,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/product-accumulate-cost-by-month,POST,/admin/arms/analysis/cost/product-accumulate-cost-by-month,/admin/arms/analysis/cost,candleStickChartAPI,com/arms/api/analysis/cost/controller/CostController.java,63,,,
23,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/req-linked-issue,POST,/admin/arms/analysis/cost/req-linked-issue,/admin/arms/analysis/cost,getLinkedJiraIssuesByVersionAndRequirement,com/arms/api/analysis/cost/controller/CostController.java,34,,,
24,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/requirement-calculation,POST,/admin/arms/analysis/cost/requirement-calculation,/admin/arms/analysis/cost,calculateRequirementCost,com/arms/api/analysis/cost/controller/CostController.java,87,,,
25,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/to-be/calculation,POST,/admin/arms/analysis/cost/to-be/calculation,/admin/arms/analysis/cost,toBeCalculateCost,com/arms/api/analysis/cost/controller/CostController.java,97,,,
26,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/version-calculation,POST,/admin/arms/analysis/cost/version-calculation,/admin/arms/analysis/cost,calculateVersionCost,com/arms/api/analysis/cost/controller/CostController.java,82,,,
27,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/version-req-assignees,POST,/admin/arms/analysis/cost/version-req-assignees,/admin/arms/analysis/cost,getAssigneeList,com/arms/api/analysis/cost/controller/CostController.java,26,,,
28,own,자체 선언,CostController,com.arms.api.analysis.cost.controller,POST /admin/arms/analysis/cost/{changeReqTableName}/req-difficulty-priority-list,POST,/admin/arms/analysis/cost/{changeReqTableName}/req-difficulty-priority-list,/admin/arms/analysis/cost,getRequirementListStats,com/arms/api/analysis/cost/controller/CostController.java,49,,,
29,own,자체 선언,DashboardController,com.arms.api.dashboard.controller,GET /arms/dashboard/aggregate-weekly-req-issue-status,GET,/arms/dashboard/aggregate-weekly-req-issue-status,/arms/dashboard,requirementsJiraIssueStatuses,com/arms/api/dashboard/controller/DashboardController.java,37,,,
30,own,자체 선언,DashboardController,com.arms.api.dashboard.controller,GET /arms/dashboard/assignees-requirements-involvements-v3,GET,/arms/dashboard/assignees-requirements-involvements-v3,/arms/dashboard,findTreeMapChartDataV3,com/arms/api/dashboard/controller/DashboardController.java,56,,,
31,own,자체 선언,DashboardController,com.arms.api.dashboard.controller,GET /arms/dashboard/global/config/test,GET,/arms/dashboard/global/config/test,/arms/dashboard,getConfigTest,com/arms/api/dashboard/controller/DashboardController.java,86,,,
32,own,자체 선언,DashboardController,com.arms.api.dashboard.controller,GET /arms/dashboard/top-req-assignee,GET,/arms/dashboard/top-req-assignee,/arms/dashboard,findTopNReqAssignee,com/arms/api/dashboard/controller/DashboardController.java,64,,,
33,own,자체 선언,DashboardController,com.arms.api.dashboard.controller,GET /arms/dashboard/top-req-state-info/{changeReqTableName}/getReqAddListByFilter,GET,/arms/dashboard/top-req-state-info/{changeReqTableName}/getReqAddListByFilter,/arms/dashboard,findTopNAssigneeReqStateInfo,com/arms/api/dashboard/controller/DashboardController.java,77,,,
34,own,자체 선언,DashboardController,com.arms.api.dashboard.controller,GET /arms/dashboard/version-assignee-summary,GET,/arms/dashboard/version-assignee-summary,/arms/dashboard,versionAssigneeIssueSummary,com/arms/api/dashboard/controller/DashboardController.java,45,,,
35,own,자체 선언,DetailDashboardController,com.arms.api.detail_dashboard.controller,POST /arms/detail-dashboard/contribution,POST,/arms/detail-dashboard/contribution,/arms/detail-dashboard,contribution,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,56,,,
36,own,자체 선언,DetailDashboardController,com.arms.api.detail_dashboard.controller,POST /arms/detail-dashboard/{changeReqTableName}/project-status,POST,/arms/detail-dashboard/{changeReqTableName}/project-status,/arms/detail-dashboard,projectStatus,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,27,,,
37,own,자체 선언,DetailDashboardController,com.arms.api.detail_dashboard.controller,POST /arms/detail-dashboard/{changeReqTableName}/quality,POST,/arms/detail-dashboard/{changeReqTableName}/quality,/arms/detail-dashboard,quality,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,41,,,
38,own,자체 선언,DetailDashboardController,com.arms.api.detail_dashboard.controller,POST /arms/detail-dashboard/{changeReqTableName}/requirement-overview,POST,/arms/detail-dashboard/{changeReqTableName}/requirement-overview,/arms/detail-dashboard,requirementOverview,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,48,,,
39,own,자체 선언,DetailDashboardController,com.arms.api.detail_dashboard.controller,POST /arms/detail-dashboard/{changeReqTableName}/time-compliance,POST,/arms/detail-dashboard/{changeReqTableName}/time-compliance,/arms/detail-dashboard,timeCompliance,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,34,,,
40,own,자체 선언,DynamicDBMakerController,com.arms.api.util.dynamicdbmaker.controller,GET /arms/dynamicDBMaker/createSchema,GET,/arms/dynamicDBMaker/createSchema,/arms/dynamicDBMaker,createSchema,com/arms/api/util/dynamicdbmaker/controller/DynamicDBMakerController.java,48,,,
41,own,자체 선언,EsIndexConfigController,com.arms.api.backoffice.config.esindex.controller,GET /arms/backoffice/es-index/index-status/histories,GET,/arms/backoffice/es-index/index-status/histories,/arms/backoffice/es-index,indexJobHistories,com/arms/api/backoffice/config/esindex/controller/EsIndexConfigController.java,29,,,
42,own,자체 선언,EsIndexConfigController,com.arms.api.backoffice.config.esindex.controller,GET /arms/backoffice/es-index/sum-list,GET,/arms/backoffice/es-index/sum-list,/arms/backoffice/es-index,esIndexSumList,com/arms/api/backoffice/config/esindex/controller/EsIndexConfigController.java,24,,,
43,own,자체 선언,FileRepositoryController,com.arms.api.util.filerepository.controller,POST /arms/fileRepository/deleteFileByNode/{fileId},POST,/arms/fileRepository/deleteFileByNode/{fileId},/arms/fileRepository,deleteFileByNode,com/arms/api/util/filerepository/controller/FileRepositoryController.java,78,,,
44,own,자체 선언,FileRepositoryController,com.arms.api.util.filerepository.controller,GET /arms/fileRepository/downloadFileByNode/{fileId},GET,/arms/fileRepository/downloadFileByNode/{fileId},/arms/fileRepository,downloadFile,com/arms/api/util/filerepository/controller/FileRepositoryController.java,93,,,
45,own,자체 선언,FileRepositoryController,com.arms.api.util.filerepository.controller,GET /arms/fileRepository/getFilesByNode.do,GET,/arms/fileRepository/getFilesByNode.do,/arms/fileRepository,getFilesByNode,com/arms/api/util/filerepository/controller/FileRepositoryController.java,63,,,
46,own,자체 선언,FullDataController,com.arms.api.report.fulldata.controller,GET /arms/report/full-data/assignee-list,GET,/arms/report/full-data/assignee-list,/arms/report/full-data,getAssignees,com/arms/api/report/fulldata/controller/FullDataController.java,30,,,
