HTTP,path,controller,javaMethod,출처,선언파일,line
POST,/arms/patchnote/addNode.do,AdminPatchController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
POST,/arms/patchnote/addPatchnote.do,AdminPatchController,addPatchnote,자체,com/arms/api/patchnote/controller/AdminPatchController.java,30
PUT,/arms/patchnote/alterNode.do,AdminPatchController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/patchnote/alterNodeType.do,AdminPatchController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/patchnote/analyzeNode.do,AdminPatchController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/arms/patchnote/getChildNode.do,AdminPatchController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/patchnote/getMonitor.do,AdminPatchController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/patchnote/getNode.do,AdminPatchController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/arms/patchnote/getNodesWithoutRoot.do,AdminPatchController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/arms/patchnote/getPaginatedChildNode.do,AdminPatchController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
POST,/arms/patchnote/moveNode.do,AdminPatchController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
DELETE,/arms/patchnote/removeNode.do,AdminPatchController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/arms/patchnote/searchNode.do,AdminPatchController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/arms/patchnote/send-message,AdminPatchController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
PUT,/arms/patchnote/updateNode.do,AdminPatchController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
PUT,/arms/patchnote/updatePatchnote.do,AdminPatchController,updatePatchnote,자체,com/arms/api/patchnote/controller/AdminPatchController.java,36
POST,/arms/alarm/excel-upload-complete,AlarmController,excelUploadComplete,자체,com/arms/api/dwralarm/controller/AlarmController.java,59
POST,/arms/alarm/gantt-excel-upload-refresh,AlarmController,ganttExcelUploadRefresh,자체,com/arms/api/dwralarm/controller/AlarmController.java,53
POST,/arms/alarm/req-def-row-status,AlarmController,reqDefRowStatus,자체,com/arms/api/dwralarm/controller/AlarmController.java,65
POST,/arms/alarm/send-message,AlarmController,sendMessage,자체,com/arms/api/dwralarm/controller/AlarmController.java,37
POST,/arms/alarm/send-message/server,AlarmController,sendMessageByServer,자체,com/arms/api/dwralarm/controller/AlarmController.java,47
POST,/arms/alarm/wbs-row-status,AlarmController,wbsRowStatus,자체,com/arms/api/dwralarm/controller/AlarmController.java,74
