menuname,page,menusource,area,provider,jsfile,line,httpMethod,apiurl,callPattern,note
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms.js,188,GET,/auth-user/api/arms/wiki/{wikiId}/{version}/getWiki.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms.js,209,GET,/auth-user/api/arms/wiki/{getWikiId}/getWiki.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms.js,226,PUT,/auth-user/api/arms/wiki/changeRecent.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms.js,298,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms.js,334,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/editor-operation.js,66,GET,/auth-user/api/arms/wiki/{id}/getWiki.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/editor-operation.js,121,POST,/auth-user/api/arms/wiki/imageUpload.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/editor-operation.js,136,GET,UNRESOLVED:imgSrc.data,$.ajax,draw.io 이미지의 src(data/blob URL) 재요청 — REST 엔드포인트 아님
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/requirement-popup.js,177,POST,/auth-user/api/arms/reqAdd/sync/T_ARMS_REQADD_{selected_pdService}/addNode.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/requirement-popup.js,329,GET,/auth-user/search-user/{term},select2(ajax),
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/session-manager.js,72,POST,/auth-user/hub/api/sessions/create,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/session-manager.js,81,POST,/auth-user/hub/api/sessions/{_sessionId}/set-document,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/vesion-control.js,74,GET,/auth-user/api/arms/wiki/{getWikiId}/getWikiVersions.do,table(ajax),
